Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_Per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
UN-100000,2/7/2025,United States,P4001,Skincare Kit,Personal Care,50,9,28,15,Mobile Payment,36-45,Female,California,Rep 4
UN-100001,4/29/2025,United States,P4001,Skincare Kit,Personal Care,50,3,28,5,Mobile Payment,26-35,Female,California,Rep 7
UN-100002,11/11/2025,United States,P2004,Spices Pack,Grocery,9,5,4,15,Credit Card,46-55,Female,Texas,Rep 12
UN-100003,8/29/2025,United States,P4001,Skincare Kit,Personal Care,50,8,28,5,Credit Card,26-35,Female,California,Rep 18
UN-100004,12/6/2025,United States,P1001,Smartphone X,Electronics,800,6,620,0,Debit Card,18-25,Female,New York,Rep 16
UN-100005,3/25/2025,United States,P1001,Smartphone X,Electronics,800,3,620,15,Credit Card,26-35,Male,Texas,Rep 9
UN-100006,12/4/2025,United States,P3002,Blender Pro,Home Appliances,120,3,85,0,Credit Card,26-35,Female,New York,Rep 4
UN-100007,4/19/2025,United States,P3001,Microwave Oven,Home Appliances,220,5,165,10,Debit Card,46-55,Male,New York,Rep 13
UN-100008,8/20/2025,United States,P4002,Hair Trimmer,Personal Care,35,3,20,15,Credit Card,18-25,Male,California,Rep 15
UN-100009,10/22/2025,United States,P2004,Spices Pack,Grocery,9,7,4,0,Debit Card,26-35,Female,California,Rep 16
UN-100010,1/20/2025,United States,P1003,Wireless Earbuds,Electronics,150,7,95,5,Credit Card,18-25,Male,Texas,Rep 8
UN-100011,12/17/2025,United States,P4002,Hair Trimmer,Personal Care,35,9,20,0,Mobile Payment,18-25,Female,Texas,Rep 15
UN-100012,2/5/2025,United States,P2004,Spices Pack,Grocery,9,7,4,5,Credit Card,46-55,Female,New York,Rep 18
UN-100013,2/9/2025,United States,P1002,Laptop Air,Electronics,1100,9,880,5,Credit Card,36-45,Female,Texas,Rep 12
UN-100014,8/19/2025,United States,P2004,Spices Pack,Grocery,9,4,4,5,Cash,26-35,Male,California,Rep 8
UN-100015,4/19/2025,United States,P2004,Spices Pack,Grocery,9,4,4,5,Cash,26-35,Female,New York,Rep 10
UN-100016,10/1/2025,United States,P3001,Microwave Oven,Home Appliances,220,7,165,0,Cash,18-25,Female,California,Rep 10
UN-100017,4/29/2025,United States,P2004,Spices Pack,Grocery,9,2,4,15,Mobile Payment,18-25,Female,Texas,Rep 4
UN-100018,9/11/2025,United States,P4002,Hair Trimmer,Personal Care,35,10,20,15,Debit Card,46-55,Female,New York,Rep 14
UN-100019,8/24/2025,United States,P1002,Laptop Air,Electronics,1100,10,880,5,Credit Card,36-45,Female,California,Rep 17
UN-100020,1/6/2025,United States,P3002,Blender Pro,Home Appliances,120,9,85,10,Credit Card,36-45,Male,New York,Rep 6
UN-100021,9/2/2025,United States,P2004,Spices Pack,Grocery,9,9,4,15,Cash,26-35,Male,Texas,Rep 16
UN-100022,5/4/2025,United States,P3002,Blender Pro,Home Appliances,120,2,85,15,Cash,46-55,Male,New York,Rep 4
UN-100023,6/28/2025,United States,P4001,Skincare Kit,Personal Care,50,9,28,10,Debit Card,46-55,Female,New York,Rep 4
UN-100024,2/4/2025,United States,P3001,Microwave Oven,Home Appliances,220,4,165,10,Cash,36-45,Female,New York,Rep 1
UN-100025,10/28/2025,United States,P2003,Organic Honey,Grocery,15,1,9,10,Mobile Payment,46-55,Female,California,Rep 7
UN-100026,6/12/2025,United States,P3001,Microwave Oven,Home Appliances,220,4,165,15,Debit Card,46-55,Female,New York,Rep 20
UN-100027,3/1/2025,United States,P2004,Spices Pack,Grocery,9,10,4,0,Mobile Payment,36-45,Female,California,Rep 20
UN-100028,3/22/2025,United States,P1002,Laptop Air,Electronics,1100,4,880,0,Cash,36-45,Male,New York,Rep 15
UN-100029,5/22/2025,United States,P1002,Laptop Air,Electronics,1100,4,880,0,Cash,36-45,Female,California,Rep 5
UN-100030,2/3/2025,United States,P1001,Smartphone X,Electronics,800,5,620,5,Debit Card,18-25,Male,Texas,Rep 13
UN-100031,11/2/2025,United States,P4001,Skincare Kit,Personal Care,50,9,28,5,Cash,36-45,Male,California,Rep 8
UN-100032,6/7/2025,United States,P1002,Laptop Air,Electronics,1100,5,880,15,Credit Card,18-25,Female,Texas,Rep 18
UN-100033,10/27/2025,United States,P2003,Organic Honey,Grocery,15,8,9,5,Mobile Payment,18-25,Male,Texas,Rep 8
UN-100034,1/16/2025,United States,P1001,Smartphone X,Electronics,800,8,620,0,Mobile Payment,36-45,Male,New York,Rep 7
UN-100035,3/7/2025,United States,P2004,Spices Pack,Grocery,9,6,4,5,Credit Card,36-45,Male,New York,Rep 9
UN-100036,10/17/2025,United States,P2003,Organic Honey,Grocery,15,5,9,5,Cash,18-25,Male,Texas,Rep 4
