Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_Per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
CA-100000,8/9/2025,Canada,P3001,Microwave Oven,Home Appliances,220,7,165,5,Cash,26-35,Female,Toronto,Rep 13
CA-100001,5/15/2025,Canada,P3002,Blender Pro,Home Appliances,120,5,85,5,Credit Card,18-25,Female,Vancouver,Rep 16
CA-100002,10/27/2025,Canada,P2003,Organic Honey,Grocery,15,3,9,0,Cash,26-35,Female,Toronto,Rep 9
CA-100003,3/15/2025,Canada,P4001,Skincare Kit,Personal Care,50,9,28,15,Mobile Payment,36-45,Male,Montreal,Rep 9
CA-100004,10/11/2025,Canada,P2004,Spices Pack,Grocery,9,10,4,10,Credit Card,26-35,Female,Montreal,Rep 15
CA-100005,3/20/2025,Canada,P3002,Blender Pro,Home Appliances,120,4,85,15,Mobile Payment,36-45,Female,Toronto,Rep 2
CA-100006,5/13/2025,Canada,P2003,Organic Honey,Grocery,15,4,9,0,Credit Card,46-55,Male,Toronto,Rep 18
CA-100007,8/22/2025,Canada,P1003,Wireless Earbuds,Electronics,150,4,95,0,Mobile Payment,26-35,Male,Toronto,Rep 16
CA-100008,1/20/2025,Canada,P2003,Organic Honey,Grocery,15,8,9,15,Mobile Payment,18-25,Female,Montreal,Rep 11
CA-100009,2/3/2025,Canada,P1002,Laptop Air,Electronics,1100,10,880,5,Credit Card,36-45,Female,Vancouver,Rep 12
CA-100010,8/31/2025,Canada,P1002,Laptop Air,Electronics,1100,9,880,10,Mobile Payment,26-35,Male,Montreal,Rep 5
CA-100011,6/19/2025,Canada,P3002,Blender Pro,Home Appliances,120,7,85,15,Debit Card,36-45,Female,Toronto,Rep 10
CA-100012,5/16/2025,Canada,P1001,Smartphone X,Electronics,800,9,620,15,Credit Card,46-55,Female,Montreal,Rep 13
CA-100013,5/20/2025,Canada,P4001,Skincare Kit,Personal Care,50,8,28,10,Credit Card,18-25,Male,Montreal,Rep 17
CA-100014,7/2/2025,Canada,P3002,Blender Pro,Home Appliances,120,7,85,15,Mobile Payment,46-55,Female,Vancouver,Rep 10
CA-100015,10/2/2025,Canada,P3002,Blender Pro,Home Appliances,120,7,85,0,Mobile Payment,18-25,Female,Toronto,Rep 2
CA-100016,2/21/2025,Canada,P3002,Blender Pro,Home Appliances,120,6,85,5,Debit Card,26-35,Male,Montreal,Rep 15
CA-100017,10/22/2025,Canada,P3001,Microwave Oven,Home Appliances,220,10,165,10,Mobile Payment,26-35,Female,Vancouver,Rep 18
CA-100018,10/13/2025,Canada,P2004,Spices Pack,Grocery,9,9,4,5,Mobile Payment,18-25,Female,Vancouver,Rep 7
CA-100019,7/29/2025,Canada,P4001,Skincare Kit,Personal Care,50,1,28,0,Mobile Payment,26-35,Female,Montreal,Rep 14
CA-100020,9/14/2025,Canada,P2003,Organic Honey,Grocery,15,4,9,0,Cash,18-25,Male,Vancouver,Rep 2
CA-100021,10/16/2025,Canada,P4001,Skincare Kit,Personal Care,50,9,28,0,Cash,18-25,Male,Vancouver,Rep 16
CA-100022,8/10/2025,Canada,P2003,Organic Honey,Grocery,15,3,9,15,Credit Card,46-55,Male,Toronto,Rep 10
CA-100023,10/16/2025,Canada,P2004,Spices Pack,Grocery,9,4,4,10,Debit Card,26-35,Female,Toronto,Rep 18
CA-100024,10/13/2025,Canada,P1003,Wireless Earbuds,Electronics,150,3,95,10,Cash,46-55,Female,Montreal,Rep 8
CA-100025,11/17/2025,Canada,P3001,Microwave Oven,Home Appliances,220,2,165,0,Mobile Payment,26-35,Female,Vancouver,Rep 7
