Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_Per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
KE-100000,7/1/2025,Kenya,P4001,Skincare Kit,Personal Care,50,2,28,15,Debit Card,26-35,Male,Nairobi,Rep 18
KE-100001,9/12/2025,Kenya,P3002,Blender Pro,Home Appliances,120,5,85,0,Credit Card,18-25,Male,Nakuru,Rep 19
KE-100002,8/8/2025,Kenya,P2003,Organic Honey,Grocery,15,3,9,10,Cash,46-55,Female,Nairobi,Rep 2
KE-100003,10/12/2025,Kenya,P2003,Organic Honey,Grocery,15,8,9,5,Mobile Payment,26-35,Female,Kisumu,Rep 11
KE-100004,6/3/2025,Kenya,P2003,Organic Honey,Grocery,15,2,9,0,Debit Card,18-25,Female,Kisumu,Rep 12
KE-100005,11/22/2025,Kenya,P2004,Spices Pack,Grocery,9,4,4,10,Cash,26-35,Female,Nakuru,Rep 8
KE-100006,10/28/2025,Kenya,P1002,Laptop Air,Electronics,1100,9,880,15,Cash,36-45,Male,Kisumu,Rep 13
KE-100007,12/22/2025,Kenya,P3001,Microwave Oven,Home Appliances,220,9,165,10,Mobile Payment,26-35,Male,Nakuru,Rep 16
KE-100008,6/23/2025,Kenya,P3002,Blender Pro,Home Appliances,120,7,85,0,Debit Card,26-35,Male,Nairobi,Rep 14
KE-100009,7/17/2025,Kenya,P1002,Laptop Air,Electronics,1100,1,880,5,Debit Card,36-45,Female,Nakuru,Rep 12
KE-100010,7/16/2025,Kenya,P1002,Laptop Air,Electronics,1100,2,880,5,Debit Card,46-55,Female,Kisumu,Rep 8
KE-100011,7/18/2025,Kenya,P1001,Smartphone X,Electronics,800,1,620,0,Cash,46-55,Female,Kisumu,Rep 2
KE-100012,3/6/2025,Kenya,P1002,Laptop Air,Electronics,1100,3,880,5,Credit Card,36-45,Female,Nairobi,Rep 2
KE-100013,11/26/2025,Kenya,P1001,Smartphone X,Electronics,800,1,620,5,Debit Card,26-35,Male,Kisumu,Rep 5
KE-100014,10/28/2025,Kenya,P2004,Spices Pack,Grocery,9,8,4,5,Debit Card,18-25,Female,Nairobi,Rep 10
KE-100015,2/12/2025,Kenya,P1003,Wireless Earbuds,Electronics,150,4,95,10,Credit Card,46-55,Male,Kisumu,Rep 2
KE-100016,10/3/2025,Kenya,P1003,Wireless Earbuds,Electronics,150,6,95,5,Credit Card,26-35,Female,Nairobi,Rep 4
KE-100017,6/18/2025,Kenya,P3002,Blender Pro,Home Appliances,120,2,85,15,Debit Card,26-35,Male,Nakuru,Rep 4
KE-100018,10/4/2025,Kenya,P1003,Wireless Earbuds,Electronics,150,9,95,5,Cash,46-55,Male,Kisumu,Rep 14
KE-100019,1/3/2025,Kenya,P1002,Laptop Air,Electronics,1100,8,880,15,Credit Card,26-35,Female,Kisumu,Rep 18
KE-100020,11/14/2025,Kenya,P1003,Wireless Earbuds,Electronics,150,4,95,5,Debit Card,26-35,Female,Nakuru,Rep 17
KE-100021,4/7/2025,Kenya,P2004,Spices Pack,Grocery,9,1,4,0,Debit Card,18-25,Male,Nakuru,Rep 5
KE-100022,6/26/2025,Kenya,P2004,Spices Pack,Grocery,9,1,4,0,Credit Card,46-55,Male,Nakuru,Rep 13
KE-100023,10/21/2025,Kenya,P1001,Smartphone X,Electronics,800,4,620,10,Credit Card,36-45,Male,Nairobi,Rep 15
KE-100024,6/27/2025,Kenya,P1002,Laptop Air,Electronics,1100,7,880,5,Debit Card,26-35,Female,Nakuru,Rep 18
KE-100025,8/3/2025,Kenya,P2003,Organic Honey,Grocery,15,8,9,0,Cash,36-45,Female,Nairobi,Rep 3
KE-100026,9/2/2025,Kenya,P4002,Hair Trimmer,Personal Care,35,10,20,0,Cash,26-35,Female,Nairobi,Rep 13
KE-100027,11/24/2025,Kenya,P2003,Organic Honey,Grocery,15,4,9,5,Cash,26-35,Female,Nairobi,Rep 3
KE-100028,9/10/2025,Kenya,P3002,Blender Pro,Home Appliances,120,7,85,0,Credit Card,18-25,Male,Nakuru,Rep 4
KE-100029,9/14/2025,Kenya,P2003,Organic Honey,Grocery,15,3,9,0,Cash,46-55,Male,Kisumu,Rep 4
KE-100030,1/14/2025,Kenya,P2004,Spices Pack,Grocery,9,2,4,10,Credit Card,46-55,Female,Kisumu,Rep 1
KE-100031,1/11/2025,Kenya,P2004,Spices Pack,Grocery,9,8,4,5,Mobile Payment,36-45,Female,Nakuru,Rep 2
KE-100032,2/26/2025,Kenya,P4001,Skincare Kit,Personal Care,50,8,28,15,Debit Card,36-45,Female,Nakuru,Rep 20
KE-100033,7/2/2025,Kenya,P4002,Hair Trimmer,Personal Care,35,3,20,0,Cash,46-55,Female,Kisumu,Rep 5
KE-100034,10/31/2025,Kenya,P1001,Smartphone X,Electronics,800,5,620,0,Cash,36-45,Male,Nakuru,Rep 17
KE-100035,9/14/2025,Kenya,P1003,Wireless Earbuds,Electronics,150,10,95,0,Cash,36-45,Male,Nairobi,Rep 4
KE-100036,3/24/2025,Kenya,P1003,Wireless Earbuds,Electronics,150,7,95,10,Debit Card,46-55,Male,Nakuru,Rep 20
KE-100037,3/27/2025,Kenya,P3001,Microwave Oven,Home Appliances,220,7,165,10,Debit Card,18-25,Female,Nairobi,Rep 18
KE-100038,9/1/2025,Kenya,P4001,Skincare Kit,Personal Care,50,9,28,5,Mobile Payment,26-35,Male,Nakuru,Rep 9
KE-100039,4/17/2025,Kenya,P2003,Organic Honey,Grocery,15,10,9,0,Mobile Payment,18-25,Male,Nairobi,Rep 11
KE-100040,3/9/2025,Kenya,P2004,Spices Pack,Grocery,9,4,4,15,Debit Card,46-55,Male,Kisumu,Rep 5
KE-100041,6/18/2025,Kenya,P2004,Spices Pack,Grocery,9,2,4,5,Credit Card,46-55,Male,Nairobi,Rep 15
KE-100042,12/16/2025,Kenya,P1001,Smartphone X,Electronics,800,6,620,10,Credit Card,46-55,Male,Kisumu,Rep 11
KE-100043,12/25/2025,Kenya,P3002,Blender Pro,Home Appliances,120,8,85,0,Mobile Payment,46-55,Male,Nairobi,Rep 10
KE-100044,12/7/2025,Kenya,P1001,Smartphone X,Electronics,800,10,620,5,Credit Card,26-35,Male,Nairobi,Rep 15
KE-100045,9/7/2025,Kenya,P2003,Organic Honey,Grocery,15,10,9,5,Debit Card,18-25,Female,Kisumu,Rep 9
KE-100046,5/16/2025,Kenya,P3002,Blender Pro,Home Appliances,120,3,85,10,Cash,46-55,Female,Nairobi,Rep 4
KE-100047,4/22/2025,Kenya,P2004,Spices Pack,Grocery,9,9,4,0,Cash,36-45,Male,Nakuru,Rep 10
KE-100048,3/21/2025,Kenya,P3001,Microwave Oven,Home Appliances,220,7,165,0,Debit Card,46-55,Female,Kisumu,Rep 20
KE-100049,3/12/2025,Kenya,P3001,Microwave Oven,Home Appliances,220,6,165,15,Cash,46-55,Male,Nakuru,Rep 15
KE-100050,6/3/2025,Kenya,P1002,Laptop Air,Electronics,1100,10,880,0,Debit Card,46-55,Female,Nakuru,Rep 4
KE-100051,11/8/2025,Kenya,P3002,Blender Pro,Home Appliances,120,1,85,15,Debit Card,18-25,Male,Kisumu,Rep 9
KE-100052,7/24/2025,Kenya,P1001,Smartphone X,Electronics,800,4,620,5,Credit Card,36-45,Male,Kisumu,Rep 1
KE-100053,9/17/2025,Kenya,P1003,Wireless Earbuds,Electronics,150,9,95,0,Debit Card,26-35,Female,Kisumu,Rep 16
KE-100054,12/4/2025,Kenya,P3002,Blender Pro,Home Appliances,120,6,85,5,Mobile Payment,36-45,Male,Nairobi,Rep 15
