Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_Per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
SO-100000,11/29/2025,South Africa,P4002,Hair Trimmer,Personal Care,35,8,20,10,Mobile Payment,26-35,Male,Pretoria,Rep 13
SO-100001,12/18/2025,South Africa,P4002,Hair Trimmer,Personal Care,35,4,20,10,Credit Card,18-25,Female,Johannesburg,Rep 5
SO-100002,10/12/2025,South Africa,P4001,Skincare Kit,Personal Care,50,1,28,0,Credit Card,46-55,Male,Johannesburg,Rep 13
SO-100003,5/14/2025,South Africa,P1001,Smartphone X,Electronics,800,4,620,10,Debit Card,26-35,Male,Cape Town,Rep 20
SO-100004,4/26/2025,South Africa,P1001,Smartphone X,Electronics,800,10,620,0,Mobile Payment,18-25,Male,Pretoria,Rep 17
SO-100005,2/28/2025,South Africa,P3002,Blender Pro,Home Appliances,120,5,85,0,Credit Card,36-45,Male,Pretoria,Rep 19
SO-100006,5/22/2025,South Africa,P1002,Laptop Air,Electronics,1100,9,880,0,Cash,36-45,Male,Pretoria,Rep 7
SO-100007,5/8/2025,South Africa,P2003,Organic Honey,Grocery,15,10,9,0,Credit Card,26-35,Male,Johannesburg,Rep 9
SO-100008,12/18/2025,South Africa,P3001,Microwave Oven,Home Appliances,220,4,165,5,Credit Card,18-25,Male,Cape Town,Rep 3
SO-100009,7/8/2025,South Africa,P2004,Spices Pack,Grocery,9,4,4,10,Mobile Payment,36-45,Female,Cape Town,Rep 3
SO-100010,1/24/2025,South Africa,P2003,Organic Honey,Grocery,15,7,9,0,Credit Card,46-55,Female,Johannesburg,Rep 11
SO-100011,2/4/2025,South Africa,P4001,Skincare Kit,Personal Care,50,7,28,10,Mobile Payment,36-45,Female,Johannesburg,Rep 9
SO-100012,9/6/2025,South Africa,P3002,Blender Pro,Home Appliances,120,4,85,15,Credit Card,26-35,Male,Johannesburg,Rep 7
SO-100013,4/1/2025,South Africa,P1001,Smartphone X,Electronics,800,1,620,15,Cash,18-25,Male,Pretoria,Rep 17
SO-100014,5/26/2025,South Africa,P2003,Organic Honey,Grocery,15,10,9,15,Credit Card,46-55,Female,Cape Town,Rep 10
SO-100015,1/8/2025,South Africa,P1003,Wireless Earbuds,Electronics,150,10,95,5,Cash,18-25,Male,Cape Town,Rep 17
SO-100016,9/28/2025,South Africa,P2003,Organic Honey,Grocery,15,1,9,5,Debit Card,26-35,Male,Johannesburg,Rep 17
SO-100017,2/1/2025,South Africa,P3001,Microwave Oven,Home Appliances,220,6,165,5,Debit Card,46-55,Male,Cape Town,Rep 12
SO-100018,6/9/2025,South Africa,P3002,Blender Pro,Home Appliances,120,6,85,15,Credit Card,18-25,Male,Johannesburg,Rep 8
SO-100019,10/30/2025,South Africa,P4002,Hair Trimmer,Personal Care,35,3,20,15,Mobile Payment,36-45,Female,Pretoria,Rep 5
SO-100020,8/11/2025,South Africa,P3002,Blender Pro,Home Appliances,120,4,85,0,Mobile Payment,36-45,Female,Johannesburg,Rep 8
SO-100021,4/8/2025,South Africa,P3001,Microwave Oven,Home Appliances,220,3,165,0,Mobile Payment,36-45,Male,Pretoria,Rep 11
SO-100022,11/2/2025,South Africa,P2004,Spices Pack,Grocery,9,5,4,5,Credit Card,26-35,Female,Johannesburg,Rep 20
SO-100023,7/10/2025,South Africa,P3002,Blender Pro,Home Appliances,120,2,85,5,Cash,46-55,Male,Cape Town,Rep 16
SO-100024,12/19/2025,South Africa,P3001,Microwave Oven,Home Appliances,220,6,165,0,Cash,26-35,Female,Pretoria,Rep 3
SO-100025,1/11/2025,South Africa,P3002,Blender Pro,Home Appliances,120,4,85,5,Credit Card,26-35,Male,Pretoria,Rep 18
SO-100026,11/15/2025,South Africa,P3002,Blender Pro,Home Appliances,120,4,85,15,Credit Card,46-55,Male,Pretoria,Rep 6
SO-100027,3/31/2025,South Africa,P3001,Microwave Oven,Home Appliances,220,8,165,10,Credit Card,46-55,Male,Pretoria,Rep 7
SO-100028,3/30/2025,South Africa,P2003,Organic Honey,Grocery,15,6,9,10,Mobile Payment,26-35,Female,Johannesburg,Rep 7
SO-100029,12/7/2025,South Africa,P1002,Laptop Air,Electronics,1100,3,880,0,Cash,18-25,Female,Johannesburg,Rep 2
SO-100030,9/27/2025,South Africa,P1001,Smartphone X,Electronics,800,7,620,10,Mobile Payment,46-55,Male,Johannesburg,Rep 20
SO-100031,11/26/2025,South Africa,P3002,Blender Pro,Home Appliances,120,1,85,0,Mobile Payment,36-45,Female,Pretoria,Rep 16
SO-100032,1/15/2025,South Africa,P1003,Wireless Earbuds,Electronics,150,4,95,5,Cash,36-45,Female,Pretoria,Rep 18
SO-100033,6/1/2025,South Africa,P1003,Wireless Earbuds,Electronics,150,5,95,5,Cash,36-45,Female,Johannesburg,Rep 9
SO-100034,8/11/2025,South Africa,P4002,Hair Trimmer,Personal Care,35,1,20,5,Cash,46-55,Female,Johannesburg,Rep 15
SO-100035,12/19/2025,South Africa,P1003,Wireless Earbuds,Electronics,150,1,95,5,Debit Card,36-45,Female,Pretoria,Rep 9
SO-100036,2/19/2025,South Africa,P1002,Laptop Air,Electronics,1100,10,880,15,Debit Card,26-35,Male,Pretoria,Rep 3
SO-100037,1/11/2025,South Africa,P4002,Hair Trimmer,Personal Care,35,6,20,0,Cash,36-45,Female,Pretoria,Rep 4
SO-100038,8/8/2025,South Africa,P4002,Hair Trimmer,Personal Care,35,10,20,15,Debit Card,18-25,Female,Cape Town,Rep 3
