Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_Per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
CH-100000,4/7/2025,China,P2004,Spices Pack,Grocery,9,8,4,0,Cash,26-35,Male,Shanghai,Rep 2
CH-100001,11/6/2025,China,P1001,Smartphone X,Electronics,800,3,620,5,Mobile Payment,18-25,Male,Beijing,Rep 13
CH-100002,12/23/2025,China,P1002,Laptop Air,Electronics,1100,4,880,5,Debit Card,46-55,Female,Shenzhen,Rep 8
CH-100003,11/14/2025,China,P1002,Laptop Air,Electronics,1100,10,880,5,Debit Card,18-25,Male,Shanghai,Rep 16
CH-100004,7/10/2025,China,P1001,Smartphone X,Electronics,800,5,620,10,Cash,46-55,Female,Beijing,Rep 15
CH-100005,2/21/2025,China,P4001,Skincare Kit,Personal Care,50,8,28,15,Mobile Payment,18-25,Male,Shenzhen,Rep 11
CH-100006,11/7/2025,China,P1001,Smartphone X,Electronics,800,7,620,10,Debit Card,26-35,Male,Shanghai,Rep 11
CH-100007,7/16/2025,China,P4002,Hair Trimmer,Personal Care,35,9,20,10,Cash,36-45,Female,Beijing,Rep 15
CH-100008,10/17/2025,China,P4002,Hair Trimmer,Personal Care,35,5,20,15,Mobile Payment,26-35,Female,Shenzhen,Rep 1
CH-100009,8/2/2025,China,P1002,Laptop Air,Electronics,1100,8,880,5,Debit Card,36-45,Female,Shanghai,Rep 14
CH-100010,11/16/2025,China,P2003,Organic Honey,Grocery,15,10,9,10,Debit Card,26-35,Male,Shenzhen,Rep 7
CH-100011,1/13/2025,China,P1003,Wireless Earbuds,Electronics,150,5,95,0,Cash,46-55,Male,Shanghai,Rep 17
CH-100012,9/23/2025,China,P2004,Spices Pack,Grocery,9,6,4,15,Credit Card,36-45,Male,Shanghai,Rep 10
CH-100013,10/5/2025,China,P1003,Wireless Earbuds,Electronics,150,5,95,5,Mobile Payment,46-55,Female,Shanghai,Rep 13
CH-100014,4/19/2025,China,P1003,Wireless Earbuds,Electronics,150,10,95,15,Credit Card,46-55,Female,Shanghai,Rep 19
CH-100015,5/30/2025,China,P2003,Organic Honey,Grocery,15,6,9,10,Debit Card,36-45,Male,Shenzhen,Rep 10
CH-100016,6/15/2025,China,P2004,Spices Pack,Grocery,9,3,4,10,Mobile Payment,36-45,Female,Shenzhen,Rep 4
CH-100017,11/20/2025,China,P3002,Blender Pro,Home Appliances,120,9,85,15,Credit Card,36-45,Female,Shanghai,Rep 3
CH-100018,9/22/2025,China,P2003,Organic Honey,Grocery,15,1,9,5,Cash,26-35,Female,Shenzhen,Rep 6
CH-100019,7/4/2025,China,P1002,Laptop Air,Electronics,1100,3,880,15,Cash,26-35,Female,Beijing,Rep 7
CH-100020,1/6/2025,China,P4002,Hair Trimmer,Personal Care,35,3,20,5,Cash,18-25,Male,Shenzhen,Rep 4
CH-100021,4/20/2025,China,P1002,Laptop Air,Electronics,1100,2,880,15,Debit Card,18-25,Female,Beijing,Rep 12
CH-100022,11/29/2025,China,P1003,Wireless Earbuds,Electronics,150,9,95,5,Debit Card,18-25,Female,Shenzhen,Rep 11
CH-100023,1/15/2025,China,P1002,Laptop Air,Electronics,1100,2,880,10,Credit Card,18-25,Male,Beijing,Rep 14
CH-100024,9/19/2025,China,P3001,Microwave Oven,Home Appliances,220,10,165,0,Cash,36-45,Female,Beijing,Rep 7
CH-100025,9/8/2025,China,P4002,Hair Trimmer,Personal Care,35,4,20,0,Debit Card,18-25,Female,Shenzhen,Rep 13
CH-100026,9/3/2025,China,P1002,Laptop Air,Electronics,1100,8,880,0,Debit Card,18-25,Male,Shenzhen,Rep 18
CH-100027,5/9/2025,China,P3001,Microwave Oven,Home Appliances,220,2,165,10,Credit Card,36-45,Female,Shenzhen,Rep 3
CH-100028,12/16/2025,China,P3001,Microwave Oven,Home Appliances,220,4,165,0,Debit Card,26-35,Female,Shenzhen,Rep 12
CH-100029,12/8/2025,China,P4001,Skincare Kit,Personal Care,50,5,28,0,Cash,36-45,Male,Shanghai,Rep 6
CH-100030,3/20/2025,China,P4001,Skincare Kit,Personal Care,50,10,28,15,Cash,36-45,Female,Beijing,Rep 8
CH-100031,7/24/2025,China,P3002,Blender Pro,Home Appliances,120,10,85,10,Debit Card,46-55,Male,Shanghai,Rep 12
CH-100032,7/27/2025,China,P3002,Blender Pro,Home Appliances,120,7,85,5,Debit Card,36-45,Male,Beijing,Rep 15
CH-100033,3/31/2025,China,P1001,Smartphone X,Electronics,800,5,620,0,Mobile Payment,18-25,Female,Beijing,Rep 10
CH-100034,2/27/2025,China,P1001,Smartphone X,Electronics,800,5,620,15,Mobile Payment,26-35,Female,Shanghai,Rep 9
CH-100035,9/16/2025,China,P1001,Smartphone X,Electronics,800,1,620,10,Cash,36-45,Female,Beijing,Rep 7
CH-100036,6/1/2025,China,P3002,Blender Pro,Home Appliances,120,9,85,0,Cash,26-35,Male,Beijing,Rep 3
CH-100037,11/22/2025,China,P1002,Laptop Air,Electronics,1100,4,880,5,Debit Card,46-55,Female,Shanghai,Rep 11
CH-100038,7/7/2025,China,P1003,Wireless Earbuds,Electronics,150,6,95,15,Cash,18-25,Male,Shanghai,Rep 19
